ID_sito;regione;provincia;comune;latitudine;longitudine;entro_50m_da_indirizzi_interessati_da_piani_di_intervento_pubblici_privati
1;SICILIA;AGRIGENTO;LAMPEDUSA E LINOSA;35,52778099;12,540664;
4;SICILIA;TRAPANI;MAZARA DEL VALLO;37,57929499;12,65556;
5;SICILIA;TRAPANI;MAZARA DEL VALLO;37,61799199;12,626539;
6;SICILIA;TRAPANI;MAZARA DEL VALLO;37,63446999;12,627025;
11;SICILIA;TRAPANI;MAZARA DEL VALLO;37,64702999;12,61114;si
12;SICILIA;TRAPANI;MAZARA DEL VALLO;37,64750899;12,596964;
17;SICILIA;TRAPANI;MAZARA DEL VALLO;37,65296399;12,582092;si
19;SICILIA;TRAPANI;MAZARA DEL VALLO;37,65220299;12,621414;
20;SICILIA;TRAPANI;MAZARA DEL VALLO;37,65225999;12,62052;
29;SICILIA;TRAPANI;MAZARA DEL VALLO;37,65696299;12,606566;si
41;SICILIA;TRAPANI;MAZARA DEL VALLO;37,66554999;12,57167;
49;SICILIA;AGRIGENTO;LAMPEDUSA E LINOSA;35,51494799;12,607582;
50;SICILIA;AGRIGENTO;LAMPEDUSA E LINOSA;35,52038999;12,5597505;
51;SICILIA;TRAPANI;CAMPOBELLO DI MAZARA;37,57734749;12,6600095;
52;SICILIA;TRAPANI;CAMPOBELLO DI MAZARA;37,56813299;12,710572;si
54;SICILIA;TRAPANI;CAMPOBELLO DI MAZARA;37,57615999;12,73183;si
56;SICILIA;TRAPANI;CAMPOBELLO DI MAZARA;37,57726899;12,737458;si
57;SICILIA;TRAPANI;CAMPOBELLO DI MAZARA;37,63133099;12,7471105;
61;SICILIA;TRAPANI;CAMPOBELLO DI MAZARA;37,64108851;12,76130359;
63;SICILIA;TRAPANI;CAMPOBELLO DI MAZARA;37,57782999;12,74736;
67;SICILIA;TRAPANI;CASTELVETRANO;37,58364899;12,838721;si
69;SICILIA;TRAPANI;CASTELVETRANO;37,58524999;12,84757;
73;SICILIA;TRAPANI;CASTELVETRANO;37,59129999;12,78928;
74;SICILIA;TRAPANI;CASTELVETRANO;37,62839999;12,904749;
75;SICILIA;TRAPANI;CASTELVETRANO;37,62851899;12,904358;
78;SICILIA;TRAPANI;CASTELVETRANO;37,58768999;12,84508;si
80;SICILIA;TRAPANI;CASTELVETRANO;37,66642799;12,81608;
81;SICILIA;TRAPANI;CASTELVETRANO;37,66663299;12,815264;
82;SICILIA;TRAPANI;CASTELVETRANO;37,66675099;12,8158075;
87;SICILIA;TRAPANI;PETROSINO;37,69986149;12,480368;
88;SICILIA;TRAPANI;PETROSINO;37,70663999;12,50617;si
94;SICILIA;TRAPANI;MARSALA;37,73920499;12,506906;si
95;SICILIA;TRAPANI;PETROSINO;37,72642499;12,47713;
99;SICILIA;TRAPANI;MAZARA DEL VALLO;37,67039899;12,60452;
100;SICILIA;TRAPANI;MAZARA DEL VALLO;37,67882999;12,58245;
102;SICILIA;TRAPANI;MAZARA DEL VALLO;37,66858149;12,550808;si
103;SICILIA;TRAPANI;PETROSINO;37,70580499;12,54997;
108;SICILIA;TRAPANI;MARSALA;37,78441999;12,53289;
109;SICILIA;TRAPANI;MARSALA;37,81114999;12,530434;si
112;SICILIA;TRAPANI;MARSALA;37,74837099;12,47121;
113;SICILIA;TRAPANI;MARSALA;37,75229999;12,47964;si
115;SICILIA;TRAPANI;MARSALA;37,72954699;12,527747;
116;SICILIA;TRAPANI;MARSALA;37,75393999;12,51568;
122;SICILIA;TRAPANI;MARSALA;37,76882999;12,48614;
128;SICILIA;TRAPANI;MARSALA;37,79433999;12,48963;
129;SICILIA;TRAPANI;MARSALA;37,79488999;12,48711;si
133;SICILIA;TRAPANI;MARSALA;37,80657999;12,50364;
136;SICILIA;TRAPANI;MARSALA;37,81754999;12,4795;
141;SICILIA;TRAPANI;MARSALA;37,83034999;12,50103;si
142;SICILIA;TRAPANI;PACECO;37,95424199;12,586414;
143;SICILIA;TRAPANI;PACECO;37,95423699;12,587627;
144;SICILIA;TRAPANI;PACECO;37,98199999;12,574175;
146;SICILIA;TRAPANI;TRAPANI;37,92741999;12,54912;
147;SICILIA;TRAPANI;TRAPANI;37,93007649;12,5461465;si
150;SICILIA;TRAPANI;PACECO;37,96960499;12,64253;
153;SICILIA;TRAPANI;MARSALA;37,81462999;12,53461;
157;SICILIA;TRAPANI;MARSALA;37,84746999;12,51639;
158;SICILIA;TRAPANI;MARSALA;37,85943249;12,5306955;
159;SICILIA;TRAPANI;MARSALA;37,86790999;12,52184;
160;SICILIA;TRAPANI;MARSALA;37,85251399;12,489531;si
161;SICILIA;TRAPANI;MARSALA;37,86202049;12,5190635;si
